,Week,Color,Avg_Return,Volatility,Week_of_Month,Close
0,1,Green,0.008999244,0.022302437184901266,1,410.75
1,2,Red,-0.000262226,0.007873989,2,405.2
2,3,Green,0.004840808,0.011336184306600118,3,416.6
3,4,Red,0.00218767,0.005362595,4,404.08
4,5,Green,-0.003443956,0.026690891,1,413.36
5,6,Green,0.004528521,0.006105346,2,427.61
6,7,Red,-0.001349769,0.010385234,3,420.9
7,8,Red,-0.002893459,0.003729977,4,416.09
8,9,Red,-0.002761142,0.009561924,1,407.75
9,10,Red,-0.004684014,0.002472019,2,402.58
10,11,Green,0.006980931,0.015994747286548944,3,414.02
11,12,Green,0.013688107,0.011478525643114218,4,445.52
12,13,Green,0.002889098,0.008450709,1,447.34
13,14,Green,0.006786009,0.00865754,2,479.09
14,15,Red,0.001610864,0.014576467001582398,3,474.47
15,16,Green,-0.003912034,0.014402115571994289,4,475.3
16,17,Green,0.006775429,0.009180402,1,489.33
17,18,Red,-0.001417282,0.016311111,2,484.99
18,19,Red,-0.001349282,0.008548124,3,480.15
19,20,Red,0.001179466,0.008222308,4,478.07
20,21,Red,-0.010078625,0.004724153,1,460.85
21,22,Red,-0.001735215,0.006305305,2,451.09
22,23,Red,-0.015229437,0.031391072,3,415.28
23,24,Green,-0.00080149,0.00728585,4,416.1
24,25,Red,-0.003838444,0.005019338,1,413.89
25,26,Red,-0.006148663,0.013495214630288287,2,395.83
26,27,Red,-0.022871798,0.017506844,3,345.34
27,28,Green,-0.003212819,0.024515764347972802,4,350.5
28,29,Red,-0.002491228,0.012866630534528061,1,344.56
29,30,Red,-0.013419722,0.013444983970434367,2,326.41
30,31,Red,-0.002913264,0.008494046,3,311.24
31,32,Red,-0.010161911,0.014974474690583448,4,308.79
32,33,Green,0.00965534,0.009480073,1,319.95
33,34,Red,0.000726411,0.024439594,2,300.03
34,35,Green,-0.003885306,0.026069126,3,313.09
35,36,Green,0.001913651,0.021165006049307582,4,314.31
36,37,Red,0.002184416,0.012640581463387616,1,307.83
37,38,Red,-0.003797253,0.016572117,2,307.64
38,39,Green,0.002528527,0.012592217,3,326.45
39,40,Red,0.007367483,0.028250338774036918,4,324.76
40,41,Red,-0.02647314,0.060576947158948555,1,276.12
41,42,Red,-0.001225231,0.022081464,2,273.53
42,43,Green,-0.00316105,0.010094380807517617,3,279.45
43,44,Green,0.006304677,0.010600739542662609,4,289.84
44,45,Red,-0.002000334,0.017199848538756224,1,279.31
45,46,Green,0.016312853,0.028162333956851027,2,307.59
46,47,Green,0.006104617,0.013671044456068858,3,315.9
47,48,Red,0.000306004,0.011836376058176194,4,312.12
48,49,Red,-0.013995389,0.018219266376394972,1,295.23
49,50,Red,0.002072865,0.004519184,2,289.03
50,51,Green,0.010648608,0.028085350931800267,3,313.79
51,52,Green,0.011719643,0.006432503,4,327.34
52,53,Green,0.009146868,0.008127354,1,343.87
53,54,Red,-0.001898449,0.020807487060750744,2,330.23
54,55,Red,-0.011655293,0.017104877784442887,3,311.64
55,56,Red,-0.032214906,0.04017245,4,255.46
56,57,Green,0.017276576,0.069189945,1,305.63
57,58,Green,0.023497372750000002,0.032780807,2,315.82
58,59,Green,-0.000314914,0.014143456965098455,3,319.99
59,60,Green,0.005473693,0.009247419,4,322.16
60,61,Red,-0.001781237,0.010776671800796713,1,320.2
61,62,Green,0.011086177200000002,0.018327231966321224,2,322.3
62,63,Red,-0.002720608,0.023759387021557613,3,318.07
63,64,Green,-0.001490236,0.015411145153881404,4,318.36
64,65,Green,0.008255965,0.017700152926593212,1,331.95
65,66,Green,0.049586916,0.098230909,2,427.35
66,67,Red,-0.001422779,0.008887147,3,420.41
67,68,Green,0.001559991,0.005492039,4,424.9
68,69,Green,0.007588355,0.018668655500076868,1,431.95
69,70,Red,-0.002332693,0.007313291,2,428.96
70,71,Green,-0.001821213,0.010819439474334204,3,438.62
71,72,Green,0.008355264,0.012539837051698878,4,453.38
72,73,Green,0.005492143,0.015837957,1,462.01
73,74,Green,0.001207591,0.007615663,2,469.94
74,75,Red,-0.015032157,0.030226312,3,431.37
75,76,Green,0.011335436,0.010438882272074375,4,451.04
76,77,Green,0.004998517,0.015665876,1,457.21
77,78,Red,-0.00183129,0.005294871,2,451.19
78,79,Green,-0.003521281,0.010265791493759854,3,472.3
79,80,Red,0.007030418,0.044578719,4,463.27
80,81,Green,0.011633882199999999,0.009638944,1,485.47
81,82,Green,0.006718694,0.035833835067498154,2,510.44
82,83,Green,0.006069054,0.00885121,3,520.71
83,84,Red,-0.013330962,0.018433215,4,475.18
84,85,Green,-0.001472827,0.009886465,1,482.03
85,86,Green,0.006137267,0.006640784,2,491.56
86,87,Red,-0.006428901,0.009146268,3,467.37
87,88,Red,-0.006141526,0.010749872374895279,4,454.52
88,89,Red,-0.007516693,0.018848336,1,449.36
89,90,Red,-0.006191978,0.011533970242744974,2,435.71
90,91,Red,-0.000993026,0.006775177,3,428.54
91,92,Green,-0.003338883,0.025242784808792065,4,438.38
92,93,Green,0.022174769,0.018513281,1,476.39
93,94,Green,0.002430177,0.008701445,2,490.76
94,95,Red,-0.002413048,0.014803727800966629,3,472.76
95,96,Red,-0.000460094,0.013513997217058375,4,471.42
96,97,Green,0.004931015,0.019116541,1,473.21
97,98,Red,-0.006545847,0.010668585,2,467.43
98,99,Red,0.0012186,0.008276798,3,457.83
99,100,Red,-0.032284635,0.01986735,4,394.42
100,101,Green,0.008922441,0.029724570980740623,1,424.19
101,102,Green,0.014786775499999998,0.013990435965203952,2,455
102,103,Green,0.030283319999999996,0.020959194989878117,3,506.95
103,104,Green,0.003207111,0.012022025894205757,4,513.24
104,105,Green,0.007580947,0.011814234,1,543.37
105,106,Red,-0.001335051,0.013135052,2,527.2
